category,amount,date,description
Miscellaneous - Other,-20.72,24/12/2017,Etiam vel augue. Vestibulum rutrum rutrum neque.
Household Utilities - Water,-146.68,15/12/2014,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla."
Transport - Fuel,-41.59,19/11/2014,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in portt"
Entertainment - Media Subscriptions,-90.78,3/10/2015,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestib"
Food & Drinks - Restaurants,-52.76,27/12/2017,"Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euis"
Holiday & Travel - Vehicle Rentals,-307.19,6/11/2015,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, e"
Home - Rent,-57.48,23/02/2014,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa qu
Holiday & Travel - Flights,-27.74,20/02/2017,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac dia"
Household Utilities - Other Household Utilities,-39.76,13/06/2015,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Ves"
Food & Drinks - Restaurants,-15.71,2/08/2017,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Entertainment - Events,-377.22,29/01/2014,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi
Shopping - Electronics & Appliances,-202.73,3/02/2015,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augu"
Work & Study - News & Subscriptions,-65.29,31/10/2017,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
Entertainment - Media Subscriptions,-88.10,25/03/2014,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellent"
Health & Beauty - Gyms & Fitness,-19.15,1/03/2014,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Shopping - Sports & Outdoor,-78.13,12/12/2017,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.
Home - Services & Trades,-161.10,15/02/2015,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus
Household Utilities - Electricity & Gas,-33.23,4/02/2017,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
Miscellaneous - Other,-3.40,13/09/2015,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante "
Groceries - Supermarkets,-15.26,27/09/2017,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, le"
Holiday & Travel - Flights,-693.74,24/05/2016,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, t"
Shopping - Electronics & Appliances,-3.82,14/05/2014,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue qua
Entertainment - Media Subscriptions,-106.68,10/03/2015,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
Household Utilities - Electricity & Gas,-732.15,25/01/2015,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
Insurance - Car Insurance,-199.64,27/06/2014,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum"
Miscellaneous - Other,-89.74,6/06/2017,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nu"
Shopping - Homewares,-123.55,1/11/2017,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.
Banking & Finance - ATM Withdrawals,-494.04,16/05/2015,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Holiday & Travel - Vehicle Rentals,-180.29,9/11/2017,"Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, laci"
Transport - Taxi & Rideshare,-57.82,1/02/2016,Aliquam non mauris. Morbi non lectus.
Home - Services & Trades,-0.87,1/03/2014,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
Health & Beauty - Gyms & Fitness,-56.58,11/10/2015,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, e"
Health & Beauty - Eyewear,-16.74,16/01/2016,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nu"
Home - Services & Trades,-364.91,26/10/2015,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non"
Banking & Finance - Loan Repayments,-4.54,20/02/2016,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor
Groceries - Liquor Stores,-80.39,25/07/2016,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lec
Shopping - Homewares,-81.03,17/10/2014,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellent"
Food & Drinks - Other Food & Drinks,-627.67,7/05/2017,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at "
Shopping - Electronics & Appliances,-26.20,10/03/2016,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus ur
Household Utilities - Water,-152.53,5/10/2017,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo."
Work & Study - Other Work & Study,-365.68,12/12/2016,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Shopping - Sports & Outdoor,-90.10,18/02/2015,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.
Shopping - Clothing & Fashion,-16.97,17/09/2015,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nu"
Holiday & Travel - Vehicle Rentals,-55.44,24/08/2015,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phase"
Food & Drinks - Restaurants,-35.39,2/04/2014,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id "
Food & Drinks - Cafes & Coffee,-103.80,6/07/2017,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante "
Holiday & Travel - Hotels & Accomodation,-253.23,9/03/2014,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lec
Holiday & Travel - Vehicle Rentals,-4.69,2/02/2017,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magn
Work & Study - Course Fees,-58.47,28/04/2017,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac te
Insurance - Car Insurance,-52.89,8/03/2014,In hac habitasse platea dictumst. Etiam faucibus cursus urna.
Banking & Finance - ATM Withdrawals,-238.03,9/10/2015,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentes"
Transport - Fuel,-220.82,14/03/2015,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nul"
Home - Rent,-294.68,2/03/2017,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentes"
Shopping - Other Shopping,-4.68,6/08/2017,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem,"
Transport - Taxi & Rideshare,-149.61,9/01/2018,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viver
Transport - Vehicle Maintenance,-75.04,15/02/2015,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend "
Transport - Vehicle Maintenance,-401.48,29/12/2015,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices a
Health & Beauty - Eyewear,-79.97,7/04/2014,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Mor"
Food & Drinks - Cafes & Coffee,-232.87,12/02/2015,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est."
Banking & Finance - ATM Withdrawals,-22.97,23/12/2016,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Household Utilities - Other Household Utilities,-12.88,19/01/2017,Ut tellus. Nulla ut erat id mauris vulputate elementum.
Work & Study - Other Work & Study,-282.92,7/04/2016,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ul"
Shopping - Homewares,-230.93,5/01/2016,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie"
Work & Study - News & Subscriptions,-60.85,13/01/2015,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa te
Transport - Fuel,-52.50,11/10/2017,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean
Food & Drinks - Other Food & Drinks,-99.51,7/03/2017,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula ne"
Holiday & Travel - Other Travel,-5.89,5/10/2015,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis."
Holiday & Travel - Vehicle Rentals,-71.18,13/09/2016,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante.
Home - Rent,-69.38,20/04/2014,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla."
Food & Drinks - Other Food & Drinks,-36.99,23/05/2015,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
Home - Services & Trades,-4.69,18/12/2014,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi
Groceries - Liquor Stores,-281.45,12/04/2016,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Mo"
Health & Beauty - Gyms & Fitness,-3.12,15/02/2017,Aliquam erat volutpat. In congue.
Transport - Public Transport,-79.13,2/05/2014,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas
Work & Study - Other Work & Study,-26.29,6/06/2015,Praesent blandit lacinia erat.
Household Utilities - Water,-31.19,7/03/2017,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa qu
Work & Study - Books & Stationery,-17.98,2/09/2016,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nu
Transport - Fuel,-385.02,10/08/2015,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Transport - Vehicle Maintenance,-63.50,15/05/2015,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidu"
Health & Beauty - Gyms & Fitness,-29.93,7/05/2015,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Food & Drinks - Bars & Pubs,-87.12,9/04/2017,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, "
Holiday & Travel - Vehicle Rentals,-2.05,3/08/2016,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Shopping - Sports & Outdoor,-87.49,23/06/2016,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi vene"
Groceries - Liquor Stores,-218.29,16/11/2014,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursu"
Holiday & Travel - Other Travel,-21.03,21/03/2017,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla nequ
Banking & Finance - Loan Repayments,-314.42,17/05/2015,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. "
Groceries - Liquor Stores,-10.71,20/02/2016,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Mor
Transport - Fuel,-117.24,8/03/2016,Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue qua
Shopping - Other Shopping,-126.16,19/11/2016,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum "
Transport - Public Transport,-236.48,8/04/2017,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi vene"
Shopping - Sports & Outdoor,-17.38,11/05/2015,Nulla ut erat id mauris vulputate elementum.
Miscellaneous - Other,-23.69,28/10/2015,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tin"
Miscellaneous - Other,-266.24,8/12/2015,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, na"
Household Utilities - Water,-27.83,8/01/2017,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui
Household Utilities - Electricity & Gas,-24.61,27/08/2014,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti."
Shopping - Sports & Outdoor,-166.50,9/03/2015,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus"
Household Utilities - Electricity & Gas,-22.63,11/08/2017,Phasellus in felis.
Home - Services & Trades,-13.81,16/06/2016,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum"
Shopping - Homewares,-355.80,24/02/2016,Suspendisse potenti.
Shopping - Clothing & Fashion,-21.04,26/04/2017,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac dia"
Transport - Fuel,-135.71,18/06/2016,Phasellus id sapien in sapien iaculis congue.
Food & Drinks - Other Food & Drinks,-27.84,25/12/2014,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus"
Work & Study - News & Subscriptions,-18.03,7/10/2016,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam n
Transport - Taxi & Rideshare,-120.51,1/01/2016,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augu"
Holiday & Travel - Flights,-53.54,7/09/2014,Etiam faucibus cursus urna.
Insurance - Car Insurance,-144.21,22/08/2015,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Household Utilities - Phone & Internet,-168.23,30/12/2014,Nunc purus. Phasellus in felis.
Holiday & Travel - Hotels & Accomodation,-587.98,2/11/2015,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis nato
Work & Study - News & Subscriptions,-10.81,5/01/2017,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
Shopping - Sports & Outdoor,-26.98,8/08/2014,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.
Food & Drinks - Takeaways,-63.80,14/07/2014,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phase"
Household Utilities - Electricity & Gas,-31.13,26/02/2015,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci
Work & Study - Books & Stationery,-95.32,18/12/2017,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nis
Food & Drinks - Bars & Pubs,-150.57,28/05/2015,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac te
Food & Drinks - Takeaways,-192.14,14/04/2016,"Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pr"
Entertainment - Events,-21.70,23/10/2016,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, mal"
Transport - Vehicle Maintenance,-72.23,18/07/2015,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum"
Entertainment - Media Subscriptions,-181.40,16/01/2018,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulput"
Shopping - Sports & Outdoor,-67.41,21/09/2017,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa te
Food & Drinks - Bars & Pubs,-34.04,12/07/2017,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas
Work & Study - Course Fees,-89.20,15/02/2015,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa
Transport - Fuel,-161.97,30/08/2015,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean
Work & Study - Course Fees,-202.43,20/08/2015,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend q"
Transport - Fuel,-23.74,15/04/2016,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem"
Household Utilities - Other Household Utilities,-116.12,5/10/2017,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rh
Shopping - Clothing & Fashion,-92.02,14/07/2016,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci
Home - Rent,-186.99,6/07/2014,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta
Entertainment - Events,-187.24,25/06/2014,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tris"
Health & Beauty - Gyms & Fitness,-101.59,20/01/2017,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. N
Insurance - Car Insurance,-21.04,1/08/2016,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibu
Work & Study - Books & Stationery,-47.28,9/12/2014,Integer ac leo. Pellentesque ultrices mattis odio.
Banking & Finance - Loan Repayments,-47.74,17/10/2015,Morbi quis tortor id nulla ultrices aliquet.
Entertainment - Media Subscriptions,-55.70,26/06/2014,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tinci
Insurance - Car Insurance,-93.14,28/04/2014,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac
Transport - Taxi & Rideshare,-284.95,13/01/2017,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tinci
Food & Drinks - Bars & Pubs,-88.04,8/02/2015,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.
Health & Beauty - Eyewear,-29.72,18/08/2014,Fusce consequat.
Holiday & Travel - Hotels & Accomodation,-252.50,6/11/2014,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibu
Health & Beauty - Gyms & Fitness,-23.48,1/06/2015,Nullam molestie nibh in lectus.
Work & Study - Course Fees,-224.43,24/04/2014,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Mor
Holiday & Travel - Flights,-45.93,15/12/2016,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum "
Household Utilities - Other Household Utilities,-113.46,23/05/2016,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
Holiday & Travel - Vehicle Rentals,-173.47,19/08/2015,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in 
Groceries - Liquor Stores,-2.80,30/05/2015,Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla nequ
Banking & Finance - ATM Withdrawals,-119.40,21/07/2017,Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam 
Household Utilities - Electricity & Gas,-168.66,3/09/2014,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacin
Shopping - Homewares,-366.89,8/02/2015,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum "
Work & Study - Books & Stationery,-203.36,31/07/2017,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
Health & Beauty - Eyewear,-151.13,1/01/2014,In congue.
Holiday & Travel - Flights,-228.95,21/05/2016,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobo"
Household Utilities - Water,-17.21,30/09/2017,Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis
Household Utilities - Other Household Utilities,-23.44,19/04/2016,Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea 
Shopping - Homewares,-64.92,17/05/2016,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede ju"
Holiday & Travel - Other Travel,-26.84,14/07/2014,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus
Household Utilities - Electricity & Gas,-40.22,16/01/2014,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Food & Drinks - Cafes & Coffee,-61.41,5/11/2015,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vit
Shopping - Electronics & Appliances,-35.50,1/01/2017,Maecenas ut massa quis augue luctus tincidunt.
Work & Study - Course Fees,-48.08,29/01/2015,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat."
Household Utilities - Water,-127.08,5/10/2015,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor
Household Utilities - Phone & Internet,-144.72,7/09/2015,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, mal"
Groceries - Liquor Stores,-28.30,15/02/2014,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Work & Study - News & Subscriptions,-55.61,11/01/2016,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim bla"
Miscellaneous - Other,-287.03,30/09/2017,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet s"
Food & Drinks - Takeaways,-277.16,18/06/2016,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phase"
Insurance - Car Insurance,-83.54,14/09/2016,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Ves"
Household Utilities - Water,-88.29,4/04/2014,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat i"
Miscellaneous - Other,-10.02,16/02/2015,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, "
Transport - Fuel,-37.02,30/06/2015,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin v"
Groceries - Liquor Stores,-13.22,2/09/2016,Curabitur at ipsum ac tellus semper interdum.
Household Utilities - Electricity & Gas,-37.92,19/05/2016,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede ju"
Work & Study - Books & Stationery,-51.05,7/06/2015,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus."
Shopping - Electronics & Appliances,-144.22,22/02/2016,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui
Health & Beauty - Eyewear,-16.01,17/09/2016,Proin interdum mauris non ligula pellentesque ultrices.
Shopping - Clothing & Fashion,-72.63,27/06/2016,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.
Work & Study - Other Work & Study,-144.14,13/11/2015,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper pur
Shopping - Sports & Outdoor,-37.81,7/01/2016,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis i"
Household Utilities - Electricity & Gas,-34.56,17/08/2016,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor qui"
Holiday & Travel - Vehicle Rentals,-304.22,25/05/2017,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis "
Holiday & Travel - Flights,-32.62,10/08/2014,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibu
Groceries - Liquor Stores,-198.53,19/01/2014,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.
Food & Drinks - Takeaways,-115.27,15/08/2014,Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa te
Food & Drinks - Bars & Pubs,-217.98,17/02/2014,Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis
Insurance - Car Insurance,-79.55,18/12/2017,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molest
Food & Drinks - Bars & Pubs,-16.59,19/04/2016,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta
Health & Beauty - Doctors & Dentist,-511.18,3/01/2016,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.
Entertainment - Media Subscriptions,-21.29,28/08/2016,Vestibulum rutrum rutrum neque.
Holiday & Travel - Other Travel,-32.58,18/11/2017,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Insurance - Car Insurance,-129.66,30/11/2015,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non 
Holiday & Travel - Flights,-85.32,2/08/2014,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tris"
Shopping - Other Shopping,-119.28,11/07/2017,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, e"
Household Utilities - Other Household Utilities,-279.96,24/09/2015,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamu
Home - Rent,-162.59,16/02/2017,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibu
Entertainment - Events,-19.92,25/12/2017,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibu
Work & Study - News & Subscriptions,-6.50,21/11/2015,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
Banking & Finance - Loan Repayments,-104.48,22/03/2014,Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.
Holiday & Travel - Vehicle Rentals,-15.47,3/06/2015,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante "
